Trial,MSE,Params,Best Trial
1026,12.165609653,"{'a11': 9.900833387094151, 'b11': 0.9206654617949963, 'c11': 0.9345453526045373, 'a12': 2.849899052564363, 'b12': 0.37510239780717697, 'c12': 1.8161422607505053, 'a13': 3.7365215760469876, 'b13': 1.517905431491768, 'c13': 3.9642867600384157, 'a21': 3.3322062520117353, 'b21': 0.9765827313400024, 'c21': 0.5969494104100661, 'a22': 9.325175131410369, 'b22': 1.528452788108861, 'c22': 0.9958974456411671, 'a23': 8.3561428907729, 'b23': 0.763927314703909, 'c23': 3.886064958967464, 'a31': 5.156811633535419, 'b31': 0.9312762525894457, 'c31': 5.518135703829511, 'a32': 0.6950523754585065, 'b32': 0.45558004070954217, 'c32': 1.479817088864932, 'a33': 9.39932911112605, 'b33': 3.1113829763836423, 'c33': 4.883576771320544}",1006
1027,11.932359177,"{'a11': 8.81500293900461, 'b11': 1.1712882140745464, 'c11': 1.3091618958865197, 'a12': 3.290225939520324, 'b12': 1.3930161938750063, 'c12': 1.8901946732695731, 'a13': 3.5526409409788684, 'b13': 1.6311509921455416, 'c13': 5.991041614009889, 'a21': 3.541080814308642, 'b21': 1.2301914743562539, 'c21': 0.5985131770076608, 'a22': 9.724851520292848, 'b22': 0.837945771758926, 'c22': 2.115989720207523, 'a23': 8.379871981462026, 'b23': 0.4067741323372267, 'c23': 3.6802343648199756, 'a31': 5.789856748857955, 'b31': 1.1364678589910477, 'c31': 6.4024204156143, 'a32': 1.0664933977579438, 'b32': 0.40488825754153657, 'c32': 0.44100307972304464, 'a33': 8.59198617827243, 'b33': 3.107589771394844, 'c33': 5.531117348305324}",1006
1028,15.007417693,"{'a11': 9.29123551283031, 'b11': 0.37886216838845427, 'c11': 0.7651892881315453, 'a12': 2.219303945100142, 'b12': 1.0842332894913513, 'c12': 1.4480250664739325, 'a13': 3.7686337715959506, 'b13': 2.4888842868347476, 'c13': 4.765922504556606, 'a21': 2.9854548261905536, 'b21': 1.2068774183218054, 'c21': 0.8923383591668319, 'a22': 7.547523495765289, 'b22': 0.30556677740126986, 'c22': 0.7828466083507677, 'a23': 8.558032131488506, 'b23': 1.0820461782706803, 'c23': 4.782784643024812, 'a31': 5.105564699525833, 'b31': 2.0542481459148796, 'c31': 5.089754532051915, 'a32': 0.8517461613732401, 'b32': 1.9295055793939377, 'c32': 1.2731742259256118, 'a33': 9.441881771911472, 'b33': 2.3241565034036737, 'c33': 4.633779487148292}",1006
1029,13.157372026,"{'a11': 8.654574242070277, 'b11': 0.6459753215531361, 'c11': 0.6787874090203537, 'a12': 3.262439264819006, 'b12': 0.9991796461203637, 'c12': 1.3891127352164814, 'a13': 2.9097177035006734, 'b13': 2.063176961474152, 'c13': 4.901184260543623, 'a21': 3.538261568556841, 'b21': 1.0016335471913282, 'c21': 0.9620386670888369, 'a22': 9.753973937164854, 'b22': 0.1793955116595361, 'c22': 2.067346797628801, 'a23': 7.507215540622264, 'b23': 0.21821960910068047, 'c23': 4.594297220983355, 'a31': 5.293984608799819, 'b31': 0.6761800764927501, 'c31': 5.760480905226877, 'a32': 1.1355089468603037, 'b32': 2.478787840793378, 'c32': 2.2437105025325383, 'a33': 8.674455398045978, 'b33': 3.425035764317488, 'c33': 5.371343985559568}",1006
1030,14.852263686,"{'a11': 9.344902582779682, 'b11': 0.08376136478744167, 'c11': 1.7750850832769882, 'a12': 2.1845571227007166, 'b12': 0.4915893788952607, 'c12': 1.0207576781006042, 'a13': 3.596184079099987, 'b13': 1.6854585560882007, 'c13': 4.554339623254452, 'a21': 4.084339788472881, 'b21': 0.6773842449236842, 'c21': 0.683330357100631, 'a22': 9.309260107289251, 'b22': 1.3259572824855286, 'c22': 2.6159335074906034, 'a23': 9.422825164378747, 'b23': 0.6882827878523903, 'c23': 4.137969608122096, 'a31': 5.593217502071557, 'b31': 0.11553976446417114, 'c31': 5.0138967663454155, 'a32': 0.8558274287197793, 'b32': 1.1290918540667614, 'c32': 2.6353493576100693, 'a33': 9.3871729673558, 'b33': 3.537545532327707, 'c33': 5.20372998195711}",1006
1031,9.350025832,"{'a11': 8.100924156827654, 'b11': 0.10441281579136497, 'c11': 2.863434288522424, 'a12': 1.9030683041058027, 'b12': 1.0989786933625858, 'c12': 0.7177702956116485, 'a13': 3.379891021509018, 'b13': 1.5925570968006584, 'c13': 5.0705512507062025, 'a21': 2.832182649949639, 'b21': 0.930670296860927, 'c21': 0.3794874328052964, 'a22': 9.349716244668167, 'b22': 0.6045240087354531, 'c22': 2.192046672375161, 'a23': 8.565525029230374, 'b23': 0.22945891055626538, 'c23': 2.457560301640826, 'a31': 6.48652016691084, 'b31': 0.32226461505296516, 'c31': 5.0761625452925285, 'a32': 1.6282986631922773, 'b32': 0.6442446163897271, 'c32': 2.0103056209394246, 'a33': 9.506460769678233, 'b33': 2.0941089069318704, 'c33': 5.9893671905022705}",1006
1032,11.295150180,"{'a11': 8.837502503258543, 'b11': 0.30463526682629616, 'c11': 1.108976638294687, 'a12': 1.9196983899790907, 'b12': 0.5942987582718862, 'c12': 1.5241143961063328, 'a13': 2.649448640625221, 'b13': 1.4368221203470848, 'c13': 6.5052339915902335, 'a21': 2.083549560686902, 'b21': 0.8326608750962089, 'c21': 0.20180192504447853, 'a22': 9.818628089548618, 'b22': 0.3171846912128151, 'c22': 2.625708238241006, 'a23': 8.860970470998632, 'b23': 0.046797258223841065, 'c23': 4.124779424829107, 'a31': 5.63083429677529, 'b31': 1.6133023661647328, 'c31': 4.958890993463125, 'a32': 0.8057074432892809, 'b32': 0.20152672922415904, 'c32': 3.5622247555921414, 'a33': 8.52044146181509, 'b33': 3.416894797096327, 'c33': 5.344923065012132}",1006
1033,11.791146981,"{'a11': 8.136693928137923, 'b11': 0.42247547207928327, 'c11': 2.954317238793218, 'a12': 1.4898110031589926, 'b12': 1.1103510350169787, 'c12': 1.9385793213882807, 'a13': 1.630075620452416, 'b13': 1.6403295549829102, 'c13': 5.945923164602167, 'a21': 3.272342044068877, 'b21': 0.48845872308458665, 'c21': 1.1414060947279496, 'a22': 9.321671583410113, 'b22': 0.6761984226801598, 'c22': 2.1848562989723304, 'a23': 8.529271640086087, 'b23': 0.6946583082992368, 'c23': 2.9873187361266655, 'a31': 6.390296926116478, 'b31': 1.4844859303481033, 'c31': 4.9431586721718945, 'a32': 2.133444882543388, 'b32': 0.5340861211048125, 'c32': 2.09020486568107, 'a33': 9.947017640413993, 'b33': 2.4299291871664916, 'c33': 4.682259087399601}",1006
1034,11.240187166,"{'a11': 8.366886912776343, 'b11': 0.13051859588361528, 'c11': 2.2844543111038336, 'a12': 1.8574089618024885, 'b12': 0.5427918384791244, 'c12': 1.8065110928366381, 'a13': 3.4355040361515665, 'b13': 1.9879527845240998, 'c13': 4.928462185557942, 'a21': 2.262061191257903, 'b21': 1.0492839880449938, 'c21': 0.8342314960380826, 'a22': 9.194550707535276, 'b22': 0.5778073713430965, 'c22': 2.5080923769494614, 'a23': 7.929319335367449, 'b23': 0.3238049408551256, 'c23': 3.738877271461667, 'a31': 7.739542406726073, 'b31': 1.0948801340197407, 'c31': 5.572137555609822, 'a32': 1.3713615700178945, 'b32': 2.313928547282247, 'c32': 2.817471238406053, 'a33': 8.982531072823125, 'b33': 3.941149013293149, 'c33': 4.914457824159078}",1006
1035,14.997015982,"{'a11': 8.580512289371772, 'b11': 0.3163417317349221, 'c11': 1.7248200470455963, 'a12': 2.8050554775878678, 'b12': 0.43037914938841704, 'c12': 0.12132654037072044, 'a13': 3.0514736428798366, 'b13': 1.5159790200886811, 'c13': 5.358394939811285, 'a21': 2.9874371632541945, 'b21': 1.0959532603134932, 'c21': 1.841887371077506, 'a22': 8.121754341080063, 'b22': 0.6674201990749397, 'c22': 3.2058033054850554, 'a23': 8.368937466885907, 'b23': 0.6459533753161253, 'c23': 2.8563599012197334, 'a31': 5.098744235691795, 'b31': 1.3495499121033618, 'c31': 4.022556399274755, 'a32': 0.49253116658127516, 'b32': 0.8168681102381912, 'c32': 0.5880852431316201, 'a33': 8.85391576178801, 'b33': 3.4479122389779913, 'c33': 5.180386159840246}",1006
